TwitchToolkit - Log - Monday, December 9, 2024
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.1535 coins, total 539
Purchase lilmia_casand: !buy use skilltrainer(animals) 2 @ 10:35 AM
lilmia_casand's karma went from 967 to 1000
Purchase lilmia_casand: !buy use skilltrainer(animals) @ 10:35 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
Purchase lilmia_casand: !buy use skilltrainer(crafting) 2 @ 10:41 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
Purchase lilmia_casand: !buy use healermechserum @ 10:43 AM
lilmia_casand's karma went from 1000 to 1000
Purchase lilmia_casand: !buy use healermechserum @ 10:43 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
Purchase lilmia_casand: !buy silver 2000 @ 10:45 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
Purchase lilmia_casand: !buy glitterworldmedicine 100 @ 10:52 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 1 coins, total 50
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
Purchase lilmia_casand: !buy babyfood 200 @ 11:04 AM
lilmia_casand's karma went from 1000 to 1000
Purchase lilmia_casand: !buy pemmican 800 @ 11:05 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
Purchase lilmia_casand: !buy wood 1000 @ 11:06 AM
lilmia_casand's karma went from 1000 to 1000
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
streamelements gets 50 * 0.5 coins, total 25
lilmia_casand gets 53 * 10.5 coins, total 557
socioeconomicbell gets 50 * 1 coins, total 50
